| FILE | LINE | ELEMENT / CONTEXT | CURRENT VALUE | WHAT IT AFFECTS |
| --- | --- | --- | --- | --- |
| index.html | 47 | Tailwind class | uppercase (in class list: "font-body text-overline text-white/60 uppercase tracking-[0.2em] block mb-2") | Casing classes on element |
| index.html | 288 | Tailwind class | uppercase (in class list: "font-body text-overline text-white/60 uppercase tracking-[0.2em] mb-4 block") | Casing classes on element |
| index.html | 304 | Hardcoded HTML Text | "MEMS" in "Advanced digital MEMS microphones focus on the voice in front of you, filtering out background noise for crystal clear semantic extraction." | Visual uppercase text |
| index.html | 327 | Tailwind class | uppercase (in class list: "font-body text-overline text-white/80 uppercase mb-4 block") | Casing classes on element |
| index.html | 339 | Hardcoded HTML Text | "GPT" in "GPT-4o Vision" | Visual uppercase text |
| index.html | 362 | Hardcoded HTML Text | "MEMS" in "MEMS Microphones" | Visual uppercase text |
| index.html | 381 | Hardcoded HTML Text | "USB" in "USB-C" | Visual uppercase text |
| index.html | 439 | Hardcoded HTML Text | "USB" in "USB-C" | Visual uppercase text |
| index.html | 449 | Tailwind class | uppercase (in class list: "font-body text-overline text-white/40 uppercase mb-8 block") | Casing classes on element |
| index.html | 449 | Hardcoded HTML Text | "THE" in "THE THESIS" | Visual uppercase text |
| index.html | 449 | Hardcoded HTML Text | "THESIS" in "THE THESIS" | Visual uppercase text |
| index.html | 802 | Tailwind class | uppercase (in class list: "font-body text-[11px] font-semibold tracking-[0.08em] uppercase text-[#1d1d1f]/60 mb-4 block") | Casing classes on element |
| index.html | 812 | Tailwind class | uppercase (in class list: "font-body text-[11px] font-semibold tracking-[0.08em] uppercase text-[#1d1d1f]/60 mb-4 block") | Casing classes on element |
| index.html | 822 | Tailwind class | uppercase (in class list: "font-body text-[11px] font-semibold tracking-[0.08em] uppercase text-[#1d1d1f]/60 mb-4 block") | Casing classes on element |
| index.html | 832 | Tailwind class | uppercase (in class list: "font-body text-[11px] font-semibold tracking-[0.08em] uppercase text-[#1d1d1f]/60 mb-4 block") | Casing classes on element |
| about.html | 58 | Tailwind class | uppercase (in class list: "font-display text-caption font-semibold uppercase tracking-wider text-ink-secondary mb-6") | Casing classes on element |
| about.html | 64 | Tailwind class | uppercase (in class list: "font-display text-caption font-semibold uppercase tracking-wider text-ink-secondary mb-6") | Casing classes on element |
| about.html | 158 | Tailwind class | uppercase (in class list: "font-body text-caption text-accent-blue font-semibold mb-2 uppercase tracking-wider") | Casing classes on element |
| about.html | 171 | Tailwind class | uppercase (in class list: "font-body text-caption text-accent-blue font-semibold mb-2 uppercase tracking-wider") | Casing classes on element |
| about.html | 180 | Tailwind class | uppercase (in class list: "font-body text-caption text-accent-blue font-semibold mb-2 uppercase tracking-wider") | Casing classes on element |
| about.html | 193 | Tailwind class | uppercase (in class list: "font-body text-caption text-accent-blue font-semibold mb-2 uppercase tracking-wider") | Casing classes on element |
| about.html | 202 | Tailwind class | uppercase (in class list: "font-body text-caption text-accent-blue font-semibold mb-2 uppercase tracking-wider") | Casing classes on element |
| about.html | 215 | Tailwind class | uppercase (in class list: "font-body text-caption text-accent-blue font-semibold mb-2 uppercase tracking-wider") | Casing classes on element |
| about.html | 224 | Tailwind class | uppercase (in class list: "font-body text-caption text-accent-blue font-semibold mb-2 uppercase tracking-wider") | Casing classes on element |
| about.html | 237 | Tailwind class | uppercase (in class list: "font-body text-caption text-accent-blue font-semibold mb-2 uppercase tracking-wider") | Casing classes on element |
| about.html | 316 | Tailwind class | uppercase (in class list: "font-body text-[11px] font-semibold tracking-[0.08em] uppercase text-[#1d1d1f]/60 mb-4 block") | Casing classes on element |
| about.html | 326 | Tailwind class | uppercase (in class list: "font-body text-[11px] font-semibold tracking-[0.08em] uppercase text-[#1d1d1f]/60 mb-4 block") | Casing classes on element |
